container_restart_count,deployment_available_replicas,deployment_replicas,hpa_current_cpu_utilization,hpa_current_replicas,hpa_desired_replicas,hpa_efficiency,hpa_target_cpu_utilization,http_error_rate,http_request_rate,http_response_time_mean,http_response_time_p50,http_response_time_p90,http_response_time_p99,http_response_time_std,http_success_rate,label,network_drop_in,network_drop_out,network_errors_in,network_errors_out,network_in,network_out,network_packets_in,network_packets_out,pod_count,pod_count_mean_3,pod_cpu_usage_cores,pod_cpu_usage_cores_mean_3,pod_cpu_usage_cores_std_3,pod_failed_count,pod_memory_usage_bytes,pod_pending_count,pod_ready_count,pod_restart_count
0,1,1,0,5,5,1.0,50,0.0,82.88876241067476,0.0120643615722656,0.0120596885681152,0.0131558418273925,0.0135786437988281,0.0009870159976154,1.0,NORMAL,0,0,0,0,20956900253,2893940016,16272960,5878155,5,5.0,0.005,0.005,0.0,0,25165824,0,5,0
0,1,1,0,5,5,1.0,50,0.0,9.55538119881498,0.1046530723571777,0.1269032955169677,0.1367590427398681,0.1411033630371093,0.03527206814594,1.0,ATTACK,0,0,0,0,20956903829,2893951502,16273014,5878251,5,5.0,0.005,0.005,0.0,0,25165824,0,5,0
0,1,1,0,5,2,2.5,50,0.0,5.762894813495793,0.1735239028930664,0.1863458156585693,0.2463785648345947,0.2682298564910889,0.0657921752891311,1.0,ATTACK,0,0,0,0,20956907654,2893964877,16273073,5878354,5,5.0,0.011,0.007,0.0034641016151379,0,25165824,0,5,0
0,1,1,0,2,2,1.0,50,0.0,5.570215081837979,0.1795262813568115,0.1734356880187988,0.204106855392456,0.218502550125122,0.0215207277702781,1.0,ATTACK,0,0,0,0,20956911470,2893977815,16273131,5878453,5,5.0,0.011,0.009,0.0034641016151379,0,25165824,0,5,0
0,1,1,0,2,4,0.5,50,0.0,6.578586293064345,0.1520083427429199,0.1443240642547607,0.1864912033081054,0.191300983428955,0.0290348456207224,1.0,ATTACK,0,0,0,0,20956948453,2894003045,16273250,5878611,4,4.666666666666667,0.068,0.03,0.0329089653438086,0,10485760,2,2,0
0,1,1,0,4,5,0.8,50,0.0,5.531890872698708,0.1807700157165527,0.1870701313018798,0.2349733829498291,0.2631853294372558,0.0517437965459267,1.0,ATTACK,0,0,0,0,20956969360,2894023342,16273343,5878749,5,4.666666666666667,0.071,0.05,0.0338082830087539,0,10485760,1,4,0
0,1,1,0,5,5,1.0,50,0.0,88.92416764192066,0.0112455368041992,0.0106751918792724,0.0128687858581542,0.0134937191009521,0.0013331454287413,1.0,NORMAL,0,0,0,0,20956973629,2894037819,16273408,5878864,5,4.666666666666667,0.101,0.08,0.0182482875908946,0,18874368,0,5,0
0,1,1,0,5,5,1.0,50,0.0,48.135807966507066,0.0207745552062988,0.0155057907104492,0.0345630168914794,0.0413996887207031,0.011516709131215,1.0,NORMAL,0,0,0,0,20956978079,2894050139,16273470,5878969,5,5.0,0.069,0.0803333333333333,0.0179257728796649,0,24117248,0,5,0
0,1,1,0,5,5,1.0,50,0.0,53.06974990447125,0.018843126296997,0.0141568183898925,0.0321520328521728,0.0404470539093017,0.0116633315438357,1.0,NORMAL,0,0,0,0,20956982299,2894061125,16273526,5879061,5,5.0,0.006,0.0586666666666666,0.0483356321292411,0,25165824,0,5,0
0,1,1,0,5,5,1.0,50,0.0,73.3459706357589,0.0136340141296386,0.0134830474853515,0.0166967391967773,0.0167445468902587,0.0028573296128678,1.0,NORMAL,0,0,0,0,20956985431,2894071547,16273574,5879147,5,5.0,0.006,0.027,0.0363730669589464,0,25165824,0,5,0
